feature,mean_abs_shap
quantity_ordered,0.47073853
is_lapsed_cert_op,0.328337
operator_id,0.117992766
is_high_complexity,0.114155814
is_bending_shift_b,0.10535349
is_supplier_c_thin_gauge,0.10520197
complexity,0.10147752
material_type,0.04767356
machine_id,0.03643217
std_labor_hrs,0.03577665
supplier,0.031964026
machine_age_years,0.028815638
shift_code,0.026958507
machine_type,0.026785789
schedule_variance_hrs,0.012619988
lot_cert_status,0.010796482
requires_welding,0.008714131
