train_size,train_roc_auc,train_roc_auc_std,val_roc_auc,val_roc_auc_std
380,0.8070210207497074,0.008564575694882715,0.6787724419970916,0.00833056179027297
868,0.7953450112565985,0.00634025868620369,0.6869596946838437,0.003984309523284956
1357,0.7840187619088309,0.011262454555941648,0.6999802643490073,0.002420531884489586
1845,0.7806590737033624,0.003881788406112505,0.7042680995797346,0.004821748372044104
2334,0.7821415839914069,0.004105315896633426,0.7086484725668596,0.006877387832064261
2822,0.7774519141754742,0.004478904483162133,0.7103188502689171,0.007835483349858632
3311,0.7761133763569216,0.0036922035580113405,0.7120074342170004,0.009771124093878751
3800,0.7706673687306832,0.003650158679803925,0.7134617152698577,0.011945784397518061
