feature,mean_abs_shap
quantity_ordered,0.5282701
is_supplier_c_thin_gauge,0.1666301
is_high_complexity,0.16652898
is_bending_shift_b,0.14148034
shift_code,0.10213308
complexity,0.09903507
operator_id,0.0574835
std_labor_hrs,0.056907784
supplier,0.041871704
machine_type,0.037091184
material_type,0.026169848
machine_id,0.022775346
schedule_variance_hrs,0.0142608415
lot_cert_status,0.011679829
is_op007_welding,0.010162061
machine_age_years,0.007506512
requires_welding,0.0
