train_size,train_roc_auc,train_roc_auc_std,val_roc_auc,val_roc_auc_std
380,0.7718764697763656,0.010638519449874321,0.6693334061816079,0.014854968055357345
868,0.7678114733673125,0.004852361578725326,0.6726309835935308,0.006844519547721587
1357,0.755100440426653,0.01647578101156263,0.6815691353829004,0.0073033477583208896
1845,0.7535317222016332,0.00828023891808161,0.6876462052194882,0.010136269337299107
2334,0.7603688421084328,0.0069701574469571105,0.6916438674802623,0.01285966394857547
2822,0.7624274118294609,0.008420834217111393,0.6941547483928697,0.014770607875694524
3311,0.7647459079103922,0.0078102680949295985,0.6975381346182745,0.017316674623035815
3800,0.762734754064343,0.008092888054016487,0.6984948826358147,0.01722144648081016
