train_size,train_roc_auc,train_roc_auc_std,val_roc_auc,val_roc_auc_std
380,0.7878932110591572,0.005904759888262651,0.7403138761802843,0.006970341149270798
868,0.7643924955428706,0.00340406404534216,0.7437974671297362,0.00363811994165438
1357,0.7561825148673602,0.0032114675495738647,0.7476436059146563,0.0042524843937598806
1845,0.7540784644985704,0.0050548547470053605,0.7486760982657129,0.004594271185443922
2334,0.7567097960213925,0.0059894320736087235,0.7493326180406413,0.005570924853741092
2822,0.7574761832305533,0.007005000440876353,0.7507153721420119,0.006788461024252773
3311,0.7593779781576915,0.006267851948093211,0.7508673582356379,0.007229212771815649
3800,0.7565534719721891,0.003816016368719366,0.7512148745007231,0.007397151778965564
