fpr,tpr,threshold
0.0,0.0,inf
0.0,0.002,0.9448407128418054
0.0,0.034,0.8371512553945352
0.001098901098901099,0.034,0.827325225424558
0.001098901098901099,0.056,0.7560809809592595
0.002197802197802198,0.056,0.7559881137275315
0.002197802197802198,0.058,0.7456638181749888
0.0032967032967032967,0.058,0.7351592287327472
0.0032967032967032967,0.06,0.7344889456292075
0.005494505494505495,0.06,0.726648615590019
0.005494505494505495,0.064,0.7259315056434573
0.008791208791208791,0.064,0.721676668817576
0.008791208791208791,0.078,0.699668044776279
0.012087912087912088,0.078,0.6942312117965161
0.012087912087912088,0.084,0.6903675282141026
0.013186813186813187,0.084,0.6883305988706123
0.013186813186813187,0.096,0.6831981945392906
0.017582417582417582,0.096,0.6691425273638085
0.017582417582417582,0.102,0.6671733685225757
0.023076923076923078,0.102,0.654165845566193
0.023076923076923078,0.104,0.6529842536168925
0.024175824175824177,0.104,0.6454958405227247
0.024175824175824177,0.108,0.643281014370744
0.025274725274725275,0.108,0.642983574155521
0.025274725274725275,0.112,0.6379528878505901
0.026373626373626374,0.112,0.6374224232841842
0.026373626373626374,0.118,0.6363649448694247
0.02857142857142857,0.118,0.634478636596835
0.02857142857142857,0.128,0.6291383383487077
0.02967032967032967,0.128,0.627747248965289
0.02967032967032967,0.132,0.6273880588795802
0.03076923076923077,0.132,0.6248922692371865
0.03076923076923077,0.14,0.6175631342993312
0.03296703296703297,0.14,0.6155103892692525
0.03296703296703297,0.144,0.6126032133276413
0.03406593406593406,0.144,0.6110757367655286
0.03406593406593406,0.152,0.6071085030902881
0.035164835164835165,0.152,0.6069382830312897
0.035164835164835165,0.154,0.6067916425437836
0.03626373626373627,0.154,0.6063535271249285
0.03626373626373627,0.158,0.6046324074913129
0.03736263736263736,0.158,0.6042119146276397
0.03736263736263736,0.162,0.6022203392861161
0.038461538461538464,0.162,0.6016731193479468
0.038461538461538464,0.166,0.6012327942686762
0.03956043956043956,0.166,0.6012102372735163
0.03956043956043956,0.176,0.5954155194905841
