fpr,tpr,threshold
0.0,0.0,inf
0.0,0.002,0.921435287814229
0.0,0.004,0.9089496842061038
0.001098901098901099,0.004,0.8756679616220162
0.001098901098901099,0.014,0.839088168804743
0.002197802197802198,0.014,0.8274040825344335
0.002197802197802198,0.02,0.8258742577425404
0.0032967032967032967,0.02,0.8194397052523753
0.0032967032967032967,0.028,0.8085259033281577
0.004395604395604396,0.028,0.806051487352119
0.004395604395604396,0.034,0.7984777495003827
0.005494505494505495,0.034,0.7960622104838279
0.005494505494505495,0.038,0.7934094297761894
0.007692307692307693,0.038,0.7906673166751267
0.007692307692307693,0.042,0.7861070975682533
0.008791208791208791,0.042,0.784367406590592
0.008791208791208791,0.054,0.772698434889902
0.00989010989010989,0.054,0.771938453878315
0.00989010989010989,0.058,0.761968757862452
0.012087912087912088,0.058,0.7542156417940753
0.012087912087912088,0.08,0.7368866029574901
0.013186813186813187,0.08,0.7365101916626502
0.013186813186813187,0.088,0.7259864856632094
0.015384615384615385,0.088,0.719480327512849
0.015384615384615385,0.092,0.7185182650175382
0.017582417582417582,0.092,0.7142901826013991
0.017582417582417582,0.094,0.7137001624365028
0.01868131868131868,0.094,0.7136688078466638
0.01868131868131868,0.102,0.7044081734953457
0.025274725274725275,0.102,0.6974086883049981
0.025274725274725275,0.104,0.6967751352013972
0.026373626373626374,0.104,0.6960736465116945
0.026373626373626374,0.11,0.6879712191820868
0.027472527472527472,0.11,0.6873880944268655
0.027472527472527472,0.112,0.6870261483888814
0.02857142857142857,0.112,0.686927120849769
0.02857142857142857,0.118,0.6790011045262643
0.02967032967032967,0.118,0.6756032308814314
0.02967032967032967,0.122,0.6738378032820199
0.031868131868131866,0.122,0.6725577614414122
0.031868131868131866,0.13,0.6672566215949539
0.03296703296703297,0.13,0.6665186643290988
0.03296703296703297,0.132,0.6658706674870465
0.035164835164835165,0.132,0.6628804867043158
0.035164835164835165,0.134,0.6627689918632639
0.03736263736263736,0.134,0.66052519993676
0.03736263736263736,0.158,0.6466047092354473
0.038461538461538464,0.158,0.6465257532267688
0.038461538461538464,0.17,0.6352251619144857
0.03956043956043956,0.17,0.6332794678870932
0.03956043956043956,0.172,0.6306439961359909
0.045054945054945054,0.172,0.6260733421789538
0.045054945054945054,0.174,0.6248286770527728
0.046153846153846156,0.174,0.6247676179232867
0.046153846153846156,0.176,0.6222895924809222
0.04725274725274725,0.176,0.6219451671567537
0.04725274725274725,0.18,0.6213548342060197
0.04835164835164835,0.18,0.6213538591031816
0.04835164835164835,0.186,0.6180409376439371
0.04945054945054945,0.186,0.6177077905160451
0.04945054945054945,0.19,0.6170783434255974
0.04945054945054945,0.194,0.617063743125235
0.04945054945054945,0.196,0.6166397611840019
0.054945054945054944,0.196,0.6147730730052213
0.054945054945054944,0.204,0.6069176727147588
0.056043956043956046,0.204,0.6047668237443455
0.056043956043956046,0.206,0.6010335916184806
0.05714285714285714,0.206,0.5994403783575
0.05714285714285714,0.208,0.598246874863659
0.05824175824175824,0.208,0.5980673501090713
0.05824175824175824,0.21,0.5971088104745661
0.05934065934065934,0.21,0.5960178117954801
0.06043956043956044,0.212,0.5945610214355962
0.06153846153846154,0.212,0.5941690547886387
0.06153846153846154,0.214,0.5935083450554133
0.06263736263736264,0.214,0.5916624875554737
0.06263736263736264,0.218,0.5890801349685126
0.06483516483516484,0.218,0.5886827481282574
0.06483516483516484,0.228,0.5859105535753384
0.06923076923076923,0.228,0.5806051322295798
0.06923076923076923,0.238,0.5726577089463784
0.07692307692307693,0.238,0.5685602700915323
0.07692307692307693,0.24,0.5684348738785582
0.08241758241758242,0.24,0.5668284191197294
0.08241758241758242,0.246,0.5631664322426952
0.08351648351648351,0.246,0.5630192714165375
0.08351648351648351,0.248,0.5629072636929195
0.08461538461538462,0.248,0.5628051461188341
0.08461538461538462,0.25,0.5620844978230463
0.08681318681318681,0.25,0.5610199734957978
0.08681318681318681,0.252,0.5608777218839057
0.09340659340659341,0.252,0.5544702423978612
0.09340659340659341,0.254,0.5542895542202287
0.0945054945054945,0.254,0.5529830610504207
0.0945054945054945,0.258,0.5510852206861662
0.0956043956043956,0.258,0.5505465661666958
0.0956043956043956,0.278,0.5408624543239314
0.0978021978021978,0.278,0.5403716014420192
0.0978021978021978,0.28,0.5401952004369438
0.1,0.28,0.5373718739850337
0.1,0.286,0.536317560080556
0.10659340659340659,0.286,0.5336156149739442
0.10659340659340659,0.288,0.5330981108776739
0.11098901098901098,0.288,0.5300688078096898
0.11098901098901098,0.292,0.5295743399957221
0.11208791208791209,0.292,0.5292155646198874
0.11208791208791209,0.294,0.5289371453689269
0.11318681318681319,0.294,0.5283828463431776
0.11318681318681319,0.296,0.5281182273938033
0.11428571428571428,0.296,0.527489050015067
0.11428571428571428,0.298,0.5268437954369599
0.11648351648351649,0.298,0.525210832518966
0.11648351648351649,0.3,0.524525571190497
0.11758241758241758,0.3,0.5243473085699623
0.11758241758241758,0.306,0.5212053355574963
0.11978021978021978,0.306,0.5175825663726875
0.11978021978021978,0.31,0.5165156965475606
0.12527472527472527,0.31,0.5142368865098352
0.12637362637362637,0.312,0.514016160139709
0.13076923076923078,0.312,0.5121672099486799
0.13076923076923078,0.314,0.5110034317861929
0.13296703296703297,0.314,0.5108713084971136
0.13296703296703297,0.322,0.5093055354807677
0.13516483516483516,0.322,0.508286525599685
0.13516483516483516,0.324,0.5076002449536929
0.13626373626373625,0.324,0.5068019842485785
0.13626373626373625,0.326,0.5064272997473352
0.13736263736263737,0.326,0.5053981169250047
0.13736263736263737,0.328,0.5048506994508073
0.13846153846153847,0.328,0.5041113255352888
0.13846153846153847,0.33,0.5019394230598849
0.14065934065934066,0.33,0.5009219973281511
0.14065934065934066,0.332,0.5005890834620111
0.14285714285714285,0.332,0.5003516993676257
0.14285714285714285,0.334,0.49970983077960784
0.14395604395604394,0.334,0.4996696770361607
0.14395604395604394,0.336,0.4995035715384787
0.14725274725274726,0.336,0.4986724346567207
0.14725274725274726,0.338,0.4986432880487655
0.14835164835164835,0.338,0.49858247702055036
0.14835164835164835,0.34,0.49751399506249167
0.15384615384615385,0.34,0.49534565262951524
0.15384615384615385,0.342,0.4949750133306241
0.15714285714285714,0.342,0.49426592379178225
0.15714285714285714,0.348,0.493618891897624
0.15824175824175823,0.348,0.49206092530641227
0.15824175824175823,0.356,0.4904515391889991
0.15934065934065933,0.356,0.48922597876317736
0.15934065934065933,0.358,0.48851733294316385
0.16043956043956045,0.358,0.4884566751118963
0.16043956043956045,0.362,0.4878493711280087
0.16263736263736264,0.362,0.48720880084769025
0.16263736263736264,0.364,0.48670699629752595
0.16373626373626374,0.364,0.48622613001023673
0.16373626373626374,0.366,0.48620902361820667
0.16593406593406593,0.366,0.48523038191896667
0.16593406593406593,0.37,0.4851206099254574
0.16813186813186815,0.37,0.48297687829939345
0.16813186813186815,0.372,0.482844927558406
0.17032967032967034,0.372,0.48173992390296727
0.17032967032967034,0.374,0.4806593644611849
0.17252747252747253,0.374,0.479282781114267
0.17252747252747253,0.378,0.47843904161216627
0.17472527472527472,0.378,0.47782735752378724
0.17472527472527472,0.38,0.477566356722373
0.17582417582417584,0.38,0.47714041822521935
0.17582417582417584,0.382,0.47687342164660057
0.17692307692307693,0.382,0.4753064058932581
0.17692307692307693,0.388,0.4746472730273464
0.17912087912087912,0.388,0.47436788409318487
0.17912087912087912,0.39,0.4742949237403265
0.18021978021978022,0.39,0.4741586328432623
0.18021978021978022,0.392,0.47324579076702145
0.1813186813186813,0.392,0.47244795124706385
0.1813186813186813,0.394,0.4720046529248518
0.18461538461538463,0.394,0.470854959840487
0.18461538461538463,0.396,0.47036347063436806
0.1879120879120879,0.396,0.47018020082162837
0.1879120879120879,0.398,0.4690708460277246
0.189010989010989,0.398,0.46743795948409217
0.189010989010989,0.402,0.4667281894799799
0.19230769230769232,0.402,0.4653487380658076
0.19230769230769232,0.404,0.4652144956612771
0.1934065934065934,0.404,0.4646242477333856
0.1934065934065934,0.41,0.46387481688522214
0.1945054945054945,0.41,0.46317950208874087
0.1945054945054945,0.412,0.46303129908071655
0.2010989010989011,0.412,0.46069782965497197
0.2010989010989011,0.42,0.4573804668182922
0.2032967032967033,0.42,0.45607027668341427
0.2032967032967033,0.422,0.4556170924608868
0.2043956043956044,0.422,0.4555167303633414
0.2043956043956044,0.424,0.4550112645459771
