train_size,train_roc_auc,train_roc_auc_std,val_roc_auc,val_roc_auc_std
380,0.7677468368761424,0.01641450465395445,0.6512680207482392,0.010961407712247288
868,0.7313378800168723,0.014468664594295523,0.6507154552934308,0.006175195195362425
1357,0.7123648401839731,0.011606204776279517,0.6793880654172074,0.005764581053651492
1845,0.709758984095045,0.007344814265353835,0.6828014116926867,0.00888964488729525
2334,0.7140102553812576,0.0077235324148365566,0.6904746548486794,0.010832371798916987
2822,0.714572903350613,0.00893205236604148,0.6950952804359712,0.01289035078520927
3311,0.7126139671704818,0.007284330230304889,0.696390304048136,0.012761683475496386
3800,0.7123704650247283,0.007423171876810198,0.6972679232909295,0.013304928132348414
