threshold,precision,recall
0.03622722855490482,0.3546099290780142,1.0
0.04152443769385349,0.35486160397445,1.0
0.045725114676627675,0.35511363636363635,1.0
0.050924120788991174,0.35536602700781805,1.0
0.05512330460729488,0.35561877667140823,1.0
0.05748083084595659,0.35587188612099646,1.0
0.058064710968124426,0.3561253561253561,1.0
0.06468225732151821,0.3563791874554526,1.0
0.06791371994108975,0.3566333808844508,1.0
0.07023225952363793,0.35688793718772305,1.0
0.07062566237468275,0.35714285714285715,1.0
0.07479058300387059,0.35739814152966404,1.0
0.07665989260462355,0.35765379113018597,1.0
0.0770434715158322,0.35790980672870437,1.0
0.07776917041831892,0.35816618911174786,1.0
0.0789426731456907,0.35770609318996416,0.998
0.08165084195245445,0.35796269727403157,0.998
0.08315033948642624,0.3582196697774587,0.998
0.0853984961830344,0.3584770114942529,0.998
0.08634713394787995,0.35873472322070454,0.998
0.0890037851912094,0.35899280575539566,0.998
0.09144497098875154,0.3592512598992081,0.998
0.09256979468409814,0.3595100864553314,0.998
0.09275907931666262,0.3590483056957462,0.996
0.09306120568482587,0.3593073593073593,0.996
0.09330231445842259,0.3595667870036101,0.996
0.09359454030465057,0.3591040462427746,0.994
0.09445791002703265,0.3586406362979031,0.992
0.09513462946215918,0.3589001447178003,0.992
0.09622106782701315,0.3591600289645185,0.992
0.09702706742167455,0.35942028985507246,0.992
0.09861771695637071,0.359680928208847,0.992
0.09979564590174228,0.35921625544267055,0.99
0.10057393503986944,0.3587509077705156,0.988
0.10099954436901702,0.35901162790697677,0.988
0.10152724294209041,0.3592727272727273,0.988
0.10348752849261245,0.35953420669577874,0.988
0.10527777778594793,0.359796067006555,0.988
0.10993471807921337,0.36005830903790087,0.988
0.11037421053257282,0.36032093362509116,0.988
0.11130375750377522,0.35985401459854016,0.986
0.11343743371137378,0.36011687363038714,0.986
0.11352081372749079,0.3603801169590643,0.986
0.11372443953685585,0.3609077598828697,0.986
0.11385011307392684,0.36117216117216117,0.986
0.11488615441729648,0.36070381231671556,0.984
0.11514906136037906,0.36096845194424065,0.984
0.11515571591813023,0.36123348017621143,0.984
0.11617684278689627,0.3614988978692138,0.984
0.11732843257298745,0.36176470588235293,0.984
0.11797626383558724,0.3620309050772627,0.984
0.11808077063836678,0.36229749631811486,0.984
0.11817404883211946,0.3625644804716286,0.984
0.11885214716506018,0.36283185840707965,0.984
0.12039880974349024,0.36309963099631,0.984
0.12343134484650585,0.36336779911373707,0.984
0.1241013408575189,0.36363636363636365,0.984
0.12436581368356392,0.363905325443787,0.984
0.1243891925518508,0.36417468541820874,0.984
0.12525438901522254,0.36444444444444446,0.984
0.12630729939871987,0.3647146034099333,0.984
0.126746643676398,0.3642433234421365,0.982
0.127540196390842,0.3645137342242019,0.982
0.12779693566064854,0.36478454680534916,0.982
0.12786426661443082,0.36505576208178436,0.982
0.12896674436932157,0.36532738095238093,0.982
0.12902537047603085,0.3655994043186895,0.982
0.12903492552554108,0.36587183308494786,0.982
0.1301315789128609,0.366144668158091,0.982
0.130442515787641,0.3664179104477612,0.982
0.1307731501378032,0.36669156086631816,0.982
0.13144200505196385,0.36696562032884905,0.982
0.1319559133361498,0.36724008975317873,0.982
0.132233793940949,0.36751497005988026,0.982
0.13250807853823585,0.36779026217228467,0.982
0.1326656976912716,0.36731634182908546,0.98
0.1330308194874318,0.3668417104276069,0.978
0.13346049692957038,0.3663663663663664,0.976
0.133518695550802,0.3666416228399699,0.976
0.13405437940607537,0.3669172932330827,0.976
0.13428343016845495,0.3671933784800602,0.976
0.13434849983665456,0.3674698795180723,0.976
0.13443781266442198,0.36699321778447624,0.974
0.1346724460612869,0.36726998491704377,0.974
0.13476473017159632,0.36754716981132074,0.974
0.13537143273576874,0.3678247734138973,0.974
0.13563617008894502,0.36810279667422524,0.974
0.13607122309561936,0.36838124054462934,0.974
0.1361600467155243,0.36866010598031795,0.974
0.1366877311065089,0.36893939393939396,0.974
0.13767952554572213,0.3692191053828658,0.974
0.1376838794421748,0.36949924127465855,0.974
0.13833306595304315,0.3690205011389522,0.972
0.13885268080904223,0.36930091185410335,0.972
0.13889086630499964,0.36958174904942964,0.972
0.13972446618014142,0.3698630136986301,0.972
0.1397499540722438,0.37014470677837014,0.972
0.1404212275977492,0.3704268292682927,0.972
0.14052422979674778,0.3707093821510298,0.972
0.1412212182705485,0.3709923664122137,0.972
0.141561271666128,0.3712757830404889,0.972
0.14176611260303346,0.37155963302752293,0.972
0.142522599068193,0.37184391736801836,0.972
0.14284563851020285,0.3721286370597244,0.972
0.14290708107259123,0.3724137931034483,0.972
0.14291041040439184,0.3726993865030675,0.972
0.14300625629263758,0.37221795855717577,0.97
0.14325241015890733,0.3725038402457757,0.97
0.14387980372470796,0.3727901614142967,0.97
0.14400866151776026,0.3730769230769231,0.97
0.14411654001351792,0.37336412625096227,0.97
0.14537944444347742,0.3736517719568567,0.97
0.14583640448550947,0.37316885119506554,0.968
0.1462683001706923,0.3734567901234568,0.968
0.1464332771123544,0.37374517374517374,0.968
0.14679637350612465,0.3740340030911901,0.968
0.1468626861506182,0.374323279195669,0.968
0.14704285123399644,0.3746130030959752,0.968
0.14718827410976226,0.37490317583268784,0.968
0.14732433292875077,0.3751937984496124,0.968
0.14737440555696482,0.37548487199379366,0.968
0.14815294339116455,0.37577639751552794,0.968
0.14835577167704225,0.37606837606837606,0.968
0.1489078810550001,0.37636080870917576,0.968
0.1489345559357323,0.37665369649805447,0.968
0.14926338605881465,0.37694704049844235,0.968
0.14939003807807652,0.37724084177708495,0.968
0.14942641577621235,0.37753510140405616,0.968
0.14956136411691373,0.37782982045277125,0.968
0.14957793427890537,0.378125,0.968
0.15024383499383337,0.3784206411258796,0.968
0.15131638032006742,0.37871674491392804,0.968
0.1519158822915247,0.37823022709475335,0.966
0.15214150249930808,0.3785266457680251,0.966
0.15218469007213695,0.3788235294117647,0.966
0.15240327134005757,0.3791208791208791,0.966
0.1528796315717183,0.37941869599371564,0.966
0.1528871298138438,0.37971698113207547,0.966
0.15299670575986057,0.38001573564122737,0.966
0.15325089298443803,0.38031496062992126,0.966
0.15330308056705091,0.3806146572104019,0.966
0.1537514975594062,0.3801261829652997,0.964
0.15376789241681013,0.3804262036306235,0.964
0.1539748530899757,0.3807266982622433,0.964
0.15398322418416174,0.38102766798418974,0.964
0.15479195404241564,0.3813291139240506,0.964
0.15494527045481962,0.3808392715756136,0.962
0.15520063884427893,0.3803486529318542,0.96
0.1553967727762948,0.38065027755749403,0.96
0.15544558066167108,0.38095238095238093,0.96
0.15560571070710974,0.3812549642573471,0.96
0.15649981359265827,0.3815580286168522,0.96
0.1567100930686598,0.3818615751789976,0.96
0.1568328460814795,0.38136942675159236,0.958
0.15698866341188528,0.3808764940239044,0.956
0.15771265419056507,0.38118022328548645,0.956
0.15782489306846448,0.38148443735035914,0.956
0.1578521164600323,0.38099041533546324,0.954
0.15872305404309922,0.381294964028777,0.954
0.1593132870794783,0.3816,0.954
0.1593859696783782,0.3819055244195356,0.954
0.15982906873220462,0.3814102564102564,0.952
0.15994594583332272,0.3817161186848436,0.952
0.16012221682569683,0.3812199036918138,0.95
0.16017525635835375,0.3815261044176707,0.95
0.1602774965653231,0.38102893890675243,0.948
0.16104773463274769,0.3813354786806114,0.948
0.16193265416118988,0.3808373590982287,0.946
0.1621344602212052,0.38033843674456086,0.944
0.16227956134805566,0.37983870967741934,0.942
0.16238797859221205,0.3801452784503632,0.942
0.16321605514213744,0.37964458804523427,0.94
0.1637024234176783,0.3799514955537591,0.94
0.16376240579898618,0.3802588996763754,0.94
0.1641310180390542,0.3805668016194332,0.94
0.16452686856358495,0.38087520259319285,0.94
0.16456416194022913,0.38118410381184104,0.94
0.1645792676599558,0.3814935064935065,0.94
0.16463585653033772,0.3818034118602762,0.94
0.16481254197947476,0.3821138211382114,0.94
0.16486276278562706,0.38161106590724164,0.938
0.16523657357760788,0.3811074918566775,0.936
0.16604128300830648,0.38060309698451505,0.934
0.16611612157333241,0.3800978792822186,0.932
0.1664017243257613,0.38040816326530613,0.932
0.16674845366959934,0.380718954248366,0.932
0.16690820492735195,0.3802125919869174,0.93
0.1669509301197909,0.38052373158756136,0.93
0.16708225333059554,0.38001638001638,0.928
0.16725917651528974,0.380327868852459,0.928
0.16727980311704316,0.37981952420016407,0.926
0.16809781040289304,0.38013136288998356,0.926
0.16880350664809485,0.38044371405094496,0.926
0.16911701444668767,0.37993421052631576,0.924
0.16917848345629985,0.3802469135802469,0.924
0.17005138596334934,0.3805601317957166,0.924
0.17029105857550061,0.380873866446826,0.924
0.17030771924254015,0.3803630363036304,0.922
0.17068193275982316,0.37985136251032203,0.92
0.17085377651357708,0.38016528925619836,0.92
0.17122340425195431,0.37965260545905705,0.918
0.17141491915705953,0.37996688741721857,0.918
0.17170087883920848,0.38028169014084506,0.918
0.17180453886351313,0.37976782752902155,0.916
0.17228020875831787,0.3800829875518672,0.916
0.17232769012935936,0.3803986710963455,0.916
0.17250824119384123,0.38071487946799665,0.916
0.1725206544019228,0.3810316139767055,0.916
0.17276704729586284,0.3813488759367194,0.916
0.17330106473954238,0.38166666666666665,0.916
0.17338852706551208,0.38198498748957466,0.916
0.17358661326204847,0.3823038397328882,0.916
0.17359235932081946,0.38262322472848787,0.916
0.17362103980011354,0.38294314381270905,0.916
0.1737784140482525,0.3832635983263598,0.916
0.1738011158839961,0.38358458961474035,0.916
0.17419553060093163,0.38390611902766136,0.916
0.17517286454036865,0.38422818791946306,0.916
0.17547373566164365,0.38371116708648195,0.914
0.1757959506406913,0.3840336134453782,0.914
0.1762191366734137,0.3843566021867115,0.914
0.17653074440636593,0.3838383838383838,0.912
0.17658608230634756,0.38416175231676497,0.912
0.17659960434839037,0.3844856661045531,0.912
0.17680843207361993,0.3848101265822785,0.912
0.17691629471042025,0.38513513513513514,0.912
0.17705700546573774,0.38546069315300086,0.912
0.17707836664214147,0.38578680203045684,0.912
0.17718729991296275,0.3861134631668078,0.912
0.17738353980669025,0.3864406779661017,0.912
0.17778181196379503,0.38676844783715014,0.912
0.17785315579437175,0.3862478777589134,0.91
0.17803762830623573,0.38657604078164826,0.91
0.17844578890881907,0.3869047619047619,0.91
0.1790089266801237,0.3872340425531915,0.91
0.17907144971151534,0.38756388415672915,0.91
0.17952537031671242,0.38704177323103156,0.908
0.1801345898569117,0.3873720136518771,0.908
0.18023720111776906,0.38770281810418444,0.908
0.18073135453379496,0.38803418803418804,0.908
0.1829515648383933,0.388366124893071,0.908
0.18303701038761058,0.3886986301369863,0.908
0.18382563044152697,0.389031705227078,0.908
0.18397612511407563,0.3893653516295026,0.908
0.18421645380377732,0.38969957081545065,0.908
0.18431912585640872,0.3900343642611684,0.908
0.1847747426652715,0.3903697334479794,0.908
0.185155368423013,0.39070567986230637,0.908
0.18518496064808604,0.39104220499569337,0.908
0.18693389316947762,0.3913793103448276,0.908
0.1870709785611479,0.3917169974115617,0.908
0.1873332001961044,0.3920552677029361,0.908
0.18759145733521326,0.3923941227312014,0.908
0.18769905499714276,0.39186851211072665,0.906
0.18788620024534974,0.3922077922077922,0.906
0.18857886934870158,0.3925476603119584,0.906
0.1886326053359588,0.39288811795316564,0.906
0.18918257501741131,0.3932291666666667,0.906
0.18940059993598876,0.3935708079930495,0.906
0.189487208180859,0.3939130434782609,0.906
0.18965604959748186,0.39425587467362927,0.906
0.18996539620941458,0.39372822299651566,0.904
0.190351516559035,0.3940714908456844,0.904
0.1913819771199575,0.3944153577661431,0.904
0.19163780979735684,0.3947598253275109,0.904
0.1916409707738745,0.3951048951048951,0.904
0.19169137823914636,0.39457567804024496,0.902
0.19194531539981913,0.3949211908931699,0.902
0.19205800863703024,0.39526730937773885,0.902
0.1923687358534027,0.3956140350877193,0.902
0.19297757837482388,0.39596136962247586,0.902
0.19351786199699952,0.39630931458699475,0.902
0.1938976292485967,0.3966578715919085,0.902
0.19391462982789573,0.3970070422535211,0.902
0.19431133636134354,0.3964757709251101,0.9
0.19474881012455214,0.3968253968253968,0.9
0.1958993358347339,0.3971756398940865,0.9
0.1960954380786752,0.39752650176678445,0.9
0.1962719636654417,0.3978779840848806,0.9
0.196431745605665,0.3973451327433628,0.898
0.1975683066569258,0.39681133746678476,0.896
0.1976111481550974,0.3971631205673759,0.896
0.19830539081647264,0.39751552795031053,0.896
0.19830572013159753,0.3978685612788632,0.896
0.19852966137979508,0.3973333333333333,0.894
0.19871160362687332,0.39768683274021355,0.894
0.19938056436118787,0.39715048975957257,0.892
0.19953365750912508,0.39750445632798576,0.892
0.20008115595187348,0.39785905441570024,0.892
0.20032897776814182,0.3982142857142857,0.892
0.20059922502242958,0.39857015192135836,0.892
0.20161079350838773,0.39892665474060823,0.892
0.20170556036537654,0.39928379588182633,0.892
0.20179113959017994,0.3996415770609319,0.892
0.20189562457263474,0.4,0.892
0.20195397861299832,0.400359066427289,0.892
0.20197754918563637,0.40071877807726863,0.892
0.2021059853849151,0.4010791366906475,0.892
0.20253717961992715,0.40054005400540055,0.89
0.20267526510461356,0.4009009009009009,0.89
0.20287361307618995,0.4012623985572588,0.89
0.2030562332627804,0.4007220216606498,0.888
0.20347053810644106,0.4001806684733514,0.886
0.20373209903452505,0.40054249547920434,0.886
0.20429148209986397,0.4,0.884
0.20450418813410526,0.4003623188405797,0.884
0.20473366683362393,0.39981867633726204,0.882
0.20529829913583245,0.40018148820326677,0.882
0.2059429035579922,0.40054495912806537,0.882
0.20658376581514443,0.4009090909090909,0.882
0.20661243289968767,0.4012738853503185,0.882
0.20666839926784042,0.4016393442622951,0.882
0.20701332830900276,0.40200546946216953,0.882
0.20747413330827105,0.40145985401459855,0.88
0.20765957129848336,0.4018264840182648,0.88
0.20784961274296115,0.40219378427787933,0.88
0.20791839092167863,0.4025617566331198,0.88
0.20791980599585105,0.40293040293040294,0.88
0.20814889910012516,0.40238313473877174,0.878
0.20844928353230818,0.40275229357798165,0.878
0.2092107145136183,0.40312213039485767,0.878
0.20950622606608463,0.40349264705882354,0.878
0.20953604521856736,0.40386384544618215,0.878
0.20990341611338803,0.40423572744014735,0.878
0.21005710468695835,0.4046082949308756,0.878
0.2101292456703244,0.4040590405904059,0.876
0.21025676815878866,0.40443213296398894,0.876
0.21049184757152084,0.40388170055452866,0.874
0.21071622926288797,0.40425531914893614,0.874
0.21081641733101558,0.4046296296296296,0.874
0.21098818800902566,0.4040778498609824,0.872
0.2110255297368679,0.4044526901669759,0.872
0.2116165475651987,0.40482822655524603,0.872
0.21175489655590032,0.40427509293680297,0.87
0.2125051781575616,0.4037209302325581,0.868
0.2125337103458343,0.4031657355679702,0.866
0.2125774150063178,0.4026095060577819,0.864
0.21261527081243758,0.40298507462686567,0.864
0.2135057602263548,0.40336134453781514,0.864
0.21405078483658813,0.40373831775700936,0.864
0.21409882505451805,0.40411599625818523,0.864
0.2146564305596515,0.4035580524344569,0.862
0.21477184948141873,0.4029990627928772,0.86
0.21518564040743757,0.4024390243902439,0.858
0.21544749027435692,0.40187793427230045,0.856
0.21554100973609477,0.40225563909774437,0.856
0.21567356035460894,0.40169332079021636,0.854
0.215900729865945,0.4020715630885122,0.854
0.21606673385937009,0.40245051837888784,0.854
0.21610688528623684,0.4028301886792453,0.854
0.21624766927647526,0.40226628895184136,0.852
0.21626860505141712,0.40264650283553877,0.852
0.21683502823739165,0.4030274361400189,0.852
0.21789377476284533,0.4034090909090909,0.852
0.21790554986064362,0.4037914691943128,0.852
0.2180330517439337,0.40417457305502846,0.852
0.21912367828860152,0.4045584045584046,0.852
0.21929112197385667,0.4049429657794677,0.852
0.21938461032108977,0.40532825880114176,0.852
0.21981752578144093,0.4057142857142857,0.852
0.2199561975771798,0.40610104861773116,0.852
0.22004257206270558,0.40553435114503816,0.85
0.22040588204323971,0.4059216809933142,0.85
0.2208974604042593,0.4063097514340344,0.85
0.2211869192475818,0.40669856459330145,0.85
0.22150874945591573,0.407088122605364,0.85
0.222391963668965,0.4074784276126558,0.85
0.222688676892207,0.40786948176583493,0.85
0.22315688785703836,0.40826128722382327,0.85
0.2234370619522409,0.40865384615384615,0.85
0.22400235667764865,0.40904716073147257,0.85
0.22411580456762645,0.40847784200385356,0.848
0.22431723472258558,0.40790742526518803,0.846
0.22502416558281121,0.4083011583011583,0.846
0.22515399714552103,0.4077294685990338,0.844
0.22593981389397383,0.4081237911025145,0.844
0.22601076617629345,0.4085188770571152,0.844
0.22601897333178575,0.40891472868217055,0.844
0.22606377315801723,0.40834141610087293,0.842
0.22689467420037748,0.4087378640776699,0.842
0.22719991145015903,0.40816326530612246,0.84
0.22744341522379466,0.4085603112840467,0.84
0.22745606452370865,0.4089581304771178,0.84
