train_size,train_roc_auc,train_roc_auc_std,val_roc_auc,val_roc_auc_std
380,0.7309722280360044,0.01040278430120931,0.6582014056787361,0.0070541889168594125
868,0.7413020200105346,0.005037445741204864,0.6865308871178671,0.0013817813756071653
1357,0.741496088796616,0.011865683587700581,0.6973135050960245,0.004913285044227314
1845,0.7414479685700915,0.004730364852719406,0.7009911950740314,0.00515033606050129
2334,0.7465136117314638,0.006941015042334565,0.706252208881219,0.007778668905511466
2822,0.7456754143396395,0.006776335416849953,0.7072657650926506,0.007891411642043775
3311,0.7468681005107829,0.005461688912110283,0.7099867357476701,0.011500545993741035
3800,0.742764555411232,0.00500970705692253,0.7109050418911208,0.011380521395638186
