period_label,risk_tier,threshold,jobs_flagged,true_positives,false_positives,precision,recall,pct_of_total
202602,High,0.75,29,27,2,0.931,0.25,0.1408
202602,Medium,0.65,54,45,9,0.8333,0.4167,0.2621
