train_size,train_roc_auc,train_roc_auc_std,val_roc_auc,val_roc_auc_std
380,0.9953005222249557,0.00017717014974426198,0.615571906122963,0.03050662937093902
868,0.9460678869058902,0.00046143741456402946,0.6491889927914956,0.008002467032380466
1357,0.912001470739885,0.004807215726495025,0.665129427435334,0.0063056298014551385
1845,0.8826671526596002,0.0006596532853490781,0.6775454205436965,0.004952988597032445
2334,0.859674980864524,0.0030155358093687185,0.6884491328693553,0.0019157396944398189
2822,0.8450797114627636,0.003549037591320839,0.6894861985729839,0.004232925180018086
3311,0.8335118847890225,0.002754878066797541,0.6968866384667942,0.00672214436180948
3800,0.8212195420580214,0.003002065874371656,0.69773035834186,0.010910356560905665
