period_label,risk_tier,threshold,jobs_flagged,true_positives,false_positives,precision,recall,pct_of_total
202603,High,0.75,32,30,2,0.9375,0.2479,0.1461
202603,Medium,0.65,65,54,11,0.8308,0.4463,0.2968
