train_size,train_roc_auc,train_roc_auc_std,val_roc_auc,val_roc_auc_std
380,0.8144954066137969,0.005790568359243558,0.7171943332313644,0.003796419407834568
868,0.8048374094713283,0.001997057797146675,0.7206842757314472,0.004223727408117839
1357,0.7946533519578827,0.009092860668252123,0.7274959284500567,0.0037816211405573836
1845,0.7901591514002456,0.004520314625667662,0.736999999741109,0.005095400807093185
2334,0.7883335062155163,0.006363219200046005,0.7399751158969927,0.006700934068375848
2822,0.7862482359506653,0.005931953361621381,0.7453991885992025,0.006493613418766785
3311,0.786596962655176,0.005698668806075147,0.7456711584820326,0.0072177313956676885
3800,0.782045573616112,0.004127954327734264,0.7488943438006298,0.007097661311272832
