train_size,train_roc_auc,train_roc_auc_std,val_roc_auc,val_roc_auc_std
380,0.9959589060587951,0.002052559597058197,0.6553330504163192,0.014840328297821793
868,0.9682921205751808,0.003577877072305297,0.6882400478632434,0.01047108385930669
1357,0.9380785815519923,0.007120082975097341,0.7025503741216693,0.010647996542123275
1845,0.9100491786477883,0.0030366871562343104,0.7081369413790394,0.011675681103967545
2334,0.8940515466112607,0.002094430831435096,0.7189887192540464,0.009437749326246796
2822,0.8797704194775621,0.0017747306346066257,0.7241511812615493,0.006464455736752064
3311,0.8696008235572315,0.0015963043327969575,0.7297546463780894,0.009814725772037035
3800,0.8575268357540514,0.0021884482792437743,0.7314401507463902,0.00973613920663014
