train_size,train_roc_auc,train_roc_auc_std,val_roc_auc,val_roc_auc_std
380,0.7755769942229431,0.006560141457264428,0.7390366252547761,0.01109096559370962
868,0.7608285345487165,0.0009656839863747829,0.7447907589835662,0.009263896426249462
1357,0.7588477318669088,0.004587152276260289,0.747974813607569,0.0073392131603291656
1845,0.7530355932872065,0.0015357630239265032,0.7482146422960518,0.006572026929352872
2334,0.7568683177749755,0.0028362694088675004,0.7488032814676447,0.0071310167344575265
2822,0.7575757108547637,0.004758992671395235,0.7505871454050871,0.008380092913864115
3311,0.761715683644454,0.005023836475297281,0.7511441729377045,0.008804301376165771
3800,0.7573828010261217,0.004455659887129105,0.7513984158653279,0.009163810176727677
