train_size,train_roc_auc,train_roc_auc_std,val_roc_auc,val_roc_auc_std
380,0.9874704996068185,0.003220884635589102,0.6040314487638181,0.031036147004949995
868,0.9383299952121019,0.0037901137438935296,0.6350103088980398,0.007276667769348437
1357,0.9030571675363325,0.007806362844684364,0.6543244758154546,0.00788510572837865
1845,0.8772935005755741,0.0006416117537238372,0.6578990324543829,0.0022473190614791328
2334,0.8620133891860619,0.0035196620553229045,0.6776001735544561,0.004737643922856509
2822,0.8469200594728261,0.002581972532411753,0.6811876575009056,0.008159084253713046
3311,0.8356455786047859,0.002075236610235828,0.6906229293666,0.005016281008862442
3800,0.8214069137586528,0.003678210778646081,0.6948722202775596,0.008241217554631811
