train_size,train_roc_auc,train_roc_auc_std,val_roc_auc,val_roc_auc_std
380,0.7415289517927465,0.0012254350812976678,0.6918330117111912,0.01120150604104637
868,0.7128214662794763,0.012436344425331161,0.6922273222934082,0.00579944005885922
1357,0.7111686720869134,0.014551488650211811,0.6982314926361018,0.0043272642492901215
1845,0.7097976555213462,0.00610119698730561,0.7015867707638463,0.00487078044166981
2334,0.7150772187402751,0.005370919589936325,0.7033295230756771,0.006541717961485354
2822,0.7174345951446831,0.0075475753682164625,0.7044965444715489,0.008057136194665278
3311,0.7184399904272215,0.005596441949067301,0.7051580142137998,0.009040170746284035
3800,0.7138330175955733,0.004738901091785986,0.7058376716303544,0.009256811618591395
