fpr,tpr,threshold
0.0,0.0,inf
0.0,0.002,0.971631646156311
0.0,0.052,0.8858668208122253
0.002197802197802198,0.052,0.8773022294044495
0.002197802197802198,0.054,0.8724601864814758
0.004395604395604396,0.054,0.8665288090705872
0.004395604395604396,0.07,0.8485730290412903
0.007692307692307693,0.07,0.8472347259521484
0.007692307692307693,0.08,0.8403280973434448
0.008791208791208791,0.08,0.8382020592689514
0.008791208791208791,0.082,0.8379228115081787
0.00989010989010989,0.082,0.8368171453475952
0.00989010989010989,0.086,0.8328812122344971
0.00989010989010989,0.09,0.830735981464386
0.00989010989010989,0.096,0.823269248008728
0.012087912087912088,0.096,0.8206865191459656
0.012087912087912088,0.104,0.8180858492851257
0.015384615384615385,0.104,0.8153020143508911
0.015384615384615385,0.106,0.8147696256637573
0.02197802197802198,0.106,0.8048738837242126
0.02197802197802198,0.11,0.8006352782249451
0.023076923076923078,0.11,0.8005738258361816
0.023076923076923078,0.114,0.7998912334442139
0.026373626373626374,0.114,0.7979111075401306
0.026373626373626374,0.118,0.7954248785972595
0.027472527472527472,0.118,0.7913163304328918
0.027472527472527472,0.124,0.7885636687278748
0.02857142857142857,0.124,0.7872913479804993
0.02857142857142857,0.136,0.7760422825813293
0.03076923076923077,0.136,0.775766909122467
0.03076923076923077,0.142,0.7730832695960999
0.03296703296703297,0.142,0.772434651851654
0.03296703296703297,0.144,0.7723218202590942
0.03406593406593406,0.144,0.7723110914230347
0.03406593406593406,0.146,0.7717488408088684
0.03626373626373627,0.146,0.7706007957458496
0.03626373626373627,0.148,0.7674704194068909
0.038461538461538464,0.148,0.7659505009651184
0.038461538461538464,0.15,0.7655884027481079
0.03956043956043956,0.15,0.7654593586921692
0.03956043956043956,0.156,0.7632884979248047
0.041758241758241756,0.156,0.761217474937439
0.041758241758241756,0.16,0.7587835788726807
0.04285714285714286,0.16,0.7583445310592651
0.04285714285714286,0.182,0.7473846077919006
0.045054945054945054,0.182,0.7439962029457092
0.045054945054945054,0.184,0.741855263710022
0.046153846153846156,0.184,0.7394422888755798
0.046153846153846156,0.188,0.7348703742027283
0.04835164835164835,0.188,0.7333035469055176
0.04835164835164835,0.19,0.7321333885192871
0.05054945054945055,0.19,0.7257774472236633
0.05054945054945055,0.2,0.7178152203559875
0.051648351648351645,0.2,0.7177925705909729
0.051648351648351645,0.21,0.7138351202011108
0.05384615384615385,0.21,0.7111092209815979
0.05384615384615385,0.214,0.7102277278900146
0.05714285714285714,0.214,0.7037165760993958
0.05714285714285714,0.218,0.7008665204048157
0.05824175824175824,0.218,0.7005319595336914
0.05824175824175824,0.22,0.6991038918495178
0.06153846153846154,0.22,0.6975588798522949
0.06153846153846154,0.222,0.6952208280563354
0.06263736263736264,0.222,0.6947783827781677
0.06263736263736264,0.224,0.6945685148239136
0.06373626373626373,0.224,0.6937652230262756
0.06373626373626373,0.228,0.6925187110900879
0.06703296703296703,0.228,0.6901015639305115
0.06703296703296703,0.236,0.6861811876296997
0.07142857142857142,0.236,0.6840832829475403
0.07142857142857142,0.244,0.6814859509468079
0.07252747252747253,0.244,0.6811428666114807
0.07252747252747253,0.248,0.679165244102478
0.07472527472527472,0.248,0.6785333752632141
0.07472527472527472,0.25,0.6783750653266907
0.07582417582417582,0.25,0.6775081157684326
0.07582417582417582,0.252,0.6773871779441833
0.07802197802197802,0.252,0.6754735112190247
0.07912087912087912,0.254,0.6749252676963806
0.08021978021978023,0.254,0.6748754978179932
0.08021978021978023,0.256,0.6736962199211121
0.08351648351648351,0.256,0.6716082692146301
0.08351648351648351,0.258,0.6714760065078735
0.08571428571428572,0.258,0.669701337814331
0.08571428571428572,0.26,0.668300449848175
0.08681318681318681,0.26,0.6677938103675842
0.08681318681318681,0.262,0.6669989228248596
0.08901098901098901,0.262,0.66581791639328
0.08901098901098901,0.264,0.6653634905815125
0.09230769230769231,0.264,0.6636037826538086
0.09230769230769231,0.268,0.6619910001754761
0.09230769230769231,0.27,0.6618567705154419
0.0945054945054945,0.27,0.6613211035728455
0.0945054945054945,0.272,0.6600942611694336
0.0989010989010989,0.272,0.6578497290611267
0.0989010989010989,0.276,0.6572007536888123
0.1,0.276,0.6565245985984802
0.1,0.28,0.6559065580368042
0.1010989010989011,0.28,0.6558781862258911
0.1010989010989011,0.284,0.655658483505249
0.1021978021978022,0.284,0.6553524136543274
0.1021978021978022,0.286,0.6545949578285217
0.10329670329670329,0.286,0.6544904112815857
0.10329670329670329,0.288,0.6528159379959106
0.1054945054945055,0.288,0.6527256369590759
0.1054945054945055,0.292,0.6521146893501282
0.10659340659340659,0.292,0.6510254740715027
0.10659340659340659,0.294,0.6508492231369019
0.1087912087912088,0.294,0.6500800251960754
0.1087912087912088,0.296,0.6499335765838623
0.11098901098901098,0.296,0.6496574282646179
0.11098901098901098,0.298,0.6495493054389954
0.11428571428571428,0.298,0.6473351716995239
0.11428571428571428,0.302,0.6466321349143982
0.11648351648351649,0.302,0.6460381746292114
