fpr,tpr,threshold
0.0,0.0,inf
0.0,0.00141643059490085,0.9706632953027763
0.0,0.08640226628895184,0.8322468737777919
0.002840909090909091,0.08640226628895184,0.8300649041220537
0.002840909090909091,0.09915014164305949,0.8239579696756729
0.002840909090909091,0.10198300283286119,0.823174756306733
0.002840909090909091,0.12039660056657224,0.8129116310047493
0.004261363636363636,0.12039660056657224,0.8125774013692966
0.004261363636363636,0.12889518413597734,0.8059051516459503
0.005681818181818182,0.12889518413597734,0.805445419313241
0.005681818181818182,0.1359773371104816,0.8027191412531911
0.007102272727272727,0.1359773371104816,0.802510845277998
0.007102272727272727,0.14022662889518414,0.8019751060761479
0.008522727272727272,0.14022662889518414,0.8013385903923735
0.008522727272727272,0.15722379603399433,0.7940640342283004
0.009943181818181818,0.15722379603399433,0.7939393353214259
0.009943181818181818,0.16005665722379603,0.79355266312508
0.011363636363636364,0.16005665722379603,0.7929702388518196
0.011363636363636364,0.17705382436260622,0.7828757591675864
0.01278409090909091,0.17705382436260622,0.7825614711680842
0.01278409090909091,0.17988668555240794,0.7819720701624561
0.014204545454545454,0.17988668555240794,0.7812719402599465
0.014204545454545454,0.18413597733711048,0.7795662017856428
0.015625,0.18413597733711048,0.7794812826721572
0.015625,0.1954674220963173,0.7741344330671345
0.017045454545454544,0.1954674220963173,0.7738870451267278
0.017045454545454544,0.22521246458923513,0.7574784948955054
0.02130681818181818,0.22521246458923513,0.7567967273766487
0.02130681818181818,0.22946175637393768,0.7551358829431725
0.022727272727272728,0.22946175637393768,0.7549755751912701
0.022727272727272728,0.23796033994334279,0.749660211420765
0.024147727272727272,0.23796033994334279,0.7496590683620272
0.024147727272727272,0.24220963172804533,0.7479012058007134
0.02556818181818182,0.24220963172804533,0.7468968678900695
0.02556818181818182,0.26487252124645894,0.7394948838621173
0.028409090909090908,0.26487252124645894,0.7370275728486458
0.028409090909090908,0.26628895184135976,0.7368428331353033
0.03125,0.26628895184135976,0.7364699981013304
0.03125,0.2747875354107649,0.7330548879983203
0.032670454545454544,0.2747875354107649,0.7324399459257336
0.032670454545454544,0.2776203966005666,0.7316931117279135
0.03409090909090909,0.2776203966005666,0.7315523560343641
0.03409090909090909,0.2804532577903683,0.7306559670259241
0.03551136363636364,0.2804532577903683,0.7280283066490103
0.03551136363636364,0.29178470254957506,0.7222716585871164
0.036931818181818184,0.29320113314447593,0.7218390277845306
0.03835227272727273,0.29320113314447593,0.7206801715359816
0.03835227272727273,0.29461756373937675,0.7205993803397786
0.041193181818181816,0.29461756373937675,0.7199483928045041
0.041193181818181816,0.29745042492917845,0.7196250102804334
0.04261363636363636,0.29745042492917845,0.7187895186487744
0.04261363636363636,0.301699716713881,0.7159032879609066
0.04403409090909091,0.301699716713881,0.7142016202673593
0.04403409090909091,0.3031161473087819,0.7133433627472603
0.045454545454545456,0.3031161473087819,0.7123661826880223
0.045454545454545456,0.31444759206798867,0.7096539993284131
0.05113636363636364,0.31444759206798867,0.7088192980744565
0.05113636363636364,0.31586402266288954,0.7083380254983077
0.052556818181818184,0.31586402266288954,0.7080614917702183
