model_type,val_roc_auc,val_f1,val_precision,val_recall
xgboost,0.7446,0.6573,0.6851,0.6317
logistic_regression,0.7405,0.6568,0.684,0.6317
random_forest,0.74,0.6486,0.6901,0.6119
