model_type,val_roc_auc,val_f1,val_precision,val_recall
xgboost,0.6895,0.5386,0.4886,0.6
random_forest,0.6764,0.3906,0.6256,0.284
logistic_regression,0.6677,0.4171,0.5608,0.332
