train_size,train_roc_auc,train_roc_auc_std,val_roc_auc,val_roc_auc_std
380,0.9477775602924473,0.007265522427327909,0.6211123051151105,0.0159194080118353
868,0.8902174978038687,0.00836626294556686,0.6414474748185469,0.0034500912008357063
1357,0.8425855362254068,0.015385903947399604,0.6515650505554308,0.004296695080450667
1845,0.8250104270627044,0.004950415172931029,0.6661536343184332,0.007579493371977048
2334,0.8133643071972999,0.006474383501496495,0.6794746916018742,0.01172938182683255
2822,0.8023300374614114,0.005837607767785208,0.6843725690273595,0.010421609067928553
3311,0.79602614833968,0.005876112805765929,0.6909518764701515,0.012734667378298498
3800,0.7862124715805688,0.008173042183453735,0.6910745650419781,0.01702151369526645
