train_size,train_roc_auc,train_roc_auc_std,val_roc_auc,val_roc_auc_std
380,0.9553085397182505,0.002964763395058679,0.675359285071988,0.009382858922434479
868,0.9602021419099126,0.001015676979897537,0.679358867569103,0.0012195911957786072
1357,0.9477243036584224,0.006061985405544968,0.6936327419691471,0.0077561914053141555
1845,0.9358581783748275,0.003182611029164166,0.698365084939763,0.009433689526370649
2334,0.9299052655218735,0.004308158463467918,0.7025724813681234,0.0038469627098506824
2822,0.9184595073015522,0.002606046508368105,0.7057652892336287,0.01113467396499921
3311,0.9108503021732363,0.0023376337627336583,0.7122195068272635,0.003323877723456364
3800,0.9033584932519888,0.0010567094340510185,0.7120425090686586,0.004581941449738889
